哀悼	参加追悼会的人向死者表示深切的哀悼。//$
缝补	这个书包缝补一下还可以用。/妈妈给别人缝补衣服，供她上学。/这件衣服太破了，缝补起来太麻烦了。/$
缝纫	他跟着妈妈学缝纫。/我们家的几个女孩子都学过缝纫。/现在衣服很便宜，学缝纫的人少了。///$
讽刺	他喜欢讽刺别人。/你别讽刺我，有话好好说嘛!。/他常写文章讽刺不合理的社会现象。/这幅漫画讽刺了不文明的行为。//$
奉	奉上报告一份，请您审查。/敬奉礼品一盒。//$奉领导指示检查安全措施。/奉上级命令立即转移。//$
奉献	要有为理想而奉献的精神。/把青春奉献给祖国。/干事业，要有奉献精神。/$
奉行	中国奉行独立自主的政策。/我们奉行的是和平的外交政策。/中医院奉行的方针是“一切为了患者”。//$
奉还	把东西奉还本人。/原数奉还，一个都不少。/借您的书，现在奉还，感谢您的帮助!。/借您的钱，下月一定奉还。//$
奉陪	各位参观，由经理奉陪。/今天我要开车，不能喝酒，下次一定奉陪！。/我还有事，不能奉陪了，我先走了。/如果敌人敢于侵犯，我们一定奉陪到底!//$
奉劝	我奉劝你一句：“少喝点儿酒吧’”。/我奉劝他几句话，请你转告他。/我们奉劝那些吸毒的人，为了你和你的家人，千万不要再吸了!//$
否	这个方案被大家否了。/这件事商量了几次了，怎么能说否就否了呢?。/这个办法还是不错的，不能轻易就否了。/我的建议已经被否了吗?//$
否定	成绩是否定不了的。/不要完全否定别人的意见。/$
否认	他否认了这种说法。/这是事实，他无法否认。/他做的事情，我们都有录像材料，是否认不了的。//$
孵	母鸡孵小鸡。/母鸡要20多天才能孵出小鸡。/现在我们可以用人工方法孵出小鸡了。//$
敷	她只在脸上敷了点儿粉，就出门了。/你的伤很重，要每天敷药。/这种药我已经敷了一个月了。//$
敷衍	他做事很不认真，总是在敷衍。/他对工作极不认真，能敷衍就敷衍。/你要加倍努力，老是敷衍不行。/$你别敷衍我，把事情说清楚!。/你放心吧，你的事儿，妈妈那儿我已经敷衍过去了，她不会问的。/那人又来找我要钱了，你去跟他敷衍几句，让他回去。/我不见她，你去帮我敷衍一下。//$
拂	春风拂面。/微风吹拂着水面。//$
伏	小猫伏在地上晒太阳。/他伏在床上一动不动。/你先伏在桌子上休息一下。/听到枪声，他立刻就伏在地上，不敢动。//$
扶	你扶着椅子，我站上去。/那个瓶子要倒了，你扶一下。/老人走路不方便，你扶着点儿。//$大夫扶起病人，给他吃药。/你这么重，我可扶不动你。/你把老太太扶起来走走I小孩子摔倒了，不用扶他，让他自己爬起来。//$你扶着墙站着，别倒下。/我好不容易扶着一棵树才站起来。/您腿不好，上楼梯时扶着点儿护栏。//$她生活上有困难，你扶他一把。//$
扶持	靠朋友们扶持。/对中小企业，我们要尽量扶持。/要扶持年轻干部。/中国西部的经济建设需要政府的扶持。//$
扶贫	市长带着扶贫工作队去乡下了。/我明天要下乡扶贫，一个月以后回来。//$
俘	被俘的有七百多人。/他受了重伤，被俘了。//$
俘虏	他被我们俘虏过两次了。/他一个人俘虏了八个敌人。/他宁愿死，也不愿意被敌人俘虏。/$作战时披敌方捉住的人：我们一共抓了五百多个俘虏。/不许虐待俘虏。/这是一个俘虏，他愿意参加我们的军队。/我是一个军医，现在主要是给俘虏们治病。//$
浮	穿着救生衣可以浮在水面上。/湖面上浮者许多树叶。/汤里浮者一层油。//$桌子上浮着一层土，你擦一擦。/看见孩子的成绩那么好，她脸上浮起微笑。//$
浮现	当时的情景又浮现在我的眼前。/往事不断在脑中浮现。/我眼前常浮现出妈妈的笑脸。/$姐姐的脸上浮现出不相信的神情。/儿子的脸上浮现出天真的笑容。/她脸上浮现出一丝微笑。/一种复杂的表情浮现在他的脸上。///$
服	你冬天在河里游泳?我真服你了。/他真的是很优秀，不服不行。/在全班同学中，我最服你。/你是对的，我服了!//$他一说话，没有人不服。/这是命令，谁能不服?//$在证据面前，他服了罪。/他虽然输了，但不服。//$这种药一天服三次，每次服一粒。/这种药应该饭前服。/她已经服了两个月药了。/你总不按时服药，病怎么能好呢?//$
服从	军人要服从命令。/下级要服从上级。/上级领导的决定，你为什么不服从?。/个人利益要服从国家利益。//$
服老	人老了，不服老不行啊!。/他是个不服老的人，每天都有许多工作。/她的特点就是不服老。/他已经快70岁了，还是不服老。/$
服务	售货员是为顾客服务的。/这个公司服务的水平很高。/大力发展服务业。/我已经为公司服务五年了。//$
服用	他不喜欢服用中药，觉得太苦。/过期的药就不能服用了。/这是外用的药，不能服用。///$
符合	你说的不符合实际情况。/说话要符合自己的身份。/他的年龄倒是符合我们的要求，不知能力怎么样。/$
辐射	城市的道路从市中心向外辐射。/商业网点很快从城市辐射到了农村地区。/$夏天要防止太阳的辐射。//$
抚	他的手抚在我的手上。//$
抚摸	抚摸着孩子的小脸。/孩子在妈妈的抚摸下睡着了。/我把妹妹搂在怀里，抚摸着她长长的头发。//$
抚养	父母有抚养孩子的义务。/他抚养了五个孤儿。/妈妈一个人辛辛苦苦把孩子抚养大。///$
辅导	我辅导他的妹妹学英语。/我想找个老师课外辅导他。/我想请您给我辅导一下。/我要参加这个考试，您辅导我，好吗?//$
辅助	以你为主，我辅助你。/我是他的助手，辅助他工作。//$
俯	你脸朝下俯着，我给你按摩一下。/他俯下身子跟孩子说话。//$
腐败	腐败的东西不能吃。/这些肉放的时间太长了，已经开始腐败了。/冰箱坏了，里边的食品都腐败了。/这种动物真的喜欢吃腐败了的东西?/$
腐化	生活非常腐化。/他长期贪污腐化。/有些人追求奢侈腐化的生活。/他是个腐化堕落的人。//$
腐蚀	这种药水对皮肤有腐蚀作用。/铁在空气中时闻长了会被腐蚀吗?。/衣服被酸腐蚀了一个洞。/$这种环境在腐蚀着孩子们的心灵。/他的思想受到了腐朽思想的腐蚀。/他就是这样一点儿一点儿地被黄色书籍腐蚀的。//$
腐朽	这块木头放在土里太久，已经腐朽了。/$
付	买书要去那边付钱。/坐车的钱，我付吧。/这么贵?我可付不起。/今天吃饭的钱已经付过了，我们走吧。//$
附属	这家出版社是附属于我们学校的。/清华附中是附属于清华大学的一所中学。/北京的不少大学都有附属于自己的中学和小学。/$
附和	他总是有自已的观点，从不附和别人。/要有自己的主张，不要随便附和别人。/即使是领导的意见，说得不对，也不能附和。//$
负	我负不了责任，你们说怎么做就怎么做。//$谁胜谁负并不重要。/我跟他比赛了十次，我六胜四负。/他的水平比我高，我跟他比赛总是胜少负多。//$
负担	公司负担这次活动的全部费用。/父母双方都有责任负担孩子的生活费用。/在家里，妻子往往负担着更多的家务劳动。/$
负于	北京队以1：2负于上海队。/红队以0：1负于对手。/足球一队由于赛前训练不足而负于二队。/负于对手的原因很多，技术不好是最重要的。/$
赴	他下周要赴美留学。/今天下午我要去赴个约会。//$
复	来电已复。/能否出席会议，请复。//$他们俩离婚一年又复婚了。/我们已经停课两周了，该复课了吧?//$
复查	他的病差不多好了，明天要去复查。/给他复查的大夫说，他的病完全好了。/这是他算出来的几个数字，你再复查一下。/这些账还要复查一次。//$
复诊	你是初诊还是复诊?。/明天你要来医院复诊。/你先回去吃这些药，后天再来复诊一次。/今天我来复诊，李大夫在吗?///$
复合	复合地板比纯木地板更便宜。/在建筑材料中，复合材料越来越多。/现在养猪都要喂复合饲料。//$
复述	请你复述一下我刚才说的话。/一篇文章，他看一遍就能复述。/你能把刚听过的故事复述一下吗?//$
复习	这次考试大家复习得不错。/要想学得好，就要多复习。/课后大家要把今天的课文复习一下。/$
复印	这份文件可以复印吗?。/请把这幅插图复印一份。/才复印了几页，复印机就坏了。/请问，复印一页多少钱?//$
复制	这不是原作，是复制的。/他已经掌握了古旧家具的复制技术。/这是按照一件清代瓷器复制时。/请照这个样子复制一件。///$
覆盖	大雪覆盖了大地。/山上覆盖着绿草。/道路被落下的树叶覆盖着。/$
富	
富有	她富有同情心。/他是一个富有正义感的年轻人。/这是一种富有生命力的艺术形式。/她的表演很富有感情。/$
赋予	这是法律赋予你的权利。/我们一定要完成国家赋予我们的重任。/这是历史赋予你们的光荣使命。/要用好人民赋予我们的权力。//$
该	这两天太累了，该休息一下了。/你说，你这样做该不该?//$今天不该我值班。/这回该我去了吧。/下一个该谁了?该老李。/我说完了，该你了。//$该!谁让你乱跑来着，摔者了吧?。/谁叫他不听话，现在挨批评了吧?该!/$论工作成绩，小王该评为第一。/再不走，该赶不上火车了。/你女儿明年该上小学了吧?。/他五点钟出发，这会儿该到家了吧?。/你该把房子打扫一下了。/再不赶紧来吃，饭都该凉了。/$冬天去滑冰该多好玩儿啊!。/能考上大学该多好啊!。/我要是也能看那次演出该多好啊！/$
该死	该死的，谁把我的收音机弄坏了?。/我真该死，又忘了还给你书了!。/这该死的风，把我的报纸都刮走了。//$
该着	第一次骑马就把腿摔了，该着我倒霉。/你该着运气好，第一次参加比赛就得奖了。//$
改	这个地名从来没改过。/这路公共汽车改了路线。/办手续的地点改了。/开会时间已经改了。/走了一半，他又改主意，不去了。//$这个坏毛病一定要改。/我错了，我改。/他的脾气改好了。/他明明知道自已错了，就是不改。//$把这件衣服改小点儿。/王老师每天晚上都要改学生的作业。//$
改编	这部电影是根据小说改编的。/$
改变	农村面貌正在迅速改变。/$改变日期。/改变计划。/改变方法。/原来的计划改变了。//$
改革	文字改革。/技术改革。/中国的经济改革取得了很大的成就。//$
改观	几年没来，北京的面貌大大改观了。/这些年，家乡有没有改观?。/禁止随地吐痰的规定公布以后，这里的卫生状况已大大改观。/经过十多年的建设，这座城市的面貌大为改观。/换人后，我们队的比赛形势有所改观。//$
改进	这家饭店的服务态度应该改进。/原有的教学方法已经有了改进。//$
改良	政治改良。/改良后的水稻品种产量很高。/这个地区的土壤经过改良后，已经适合种庄稼了。//$
改善	城市居民的住房条件大大改善了。/新办公楼盖好以后，我们的工作条件得到了很大改善。//$
改天	我改天去看你。/今天我有事，改天找他吧。/我要去上课了，改天再聊吧。/我今天有课，不能陪你去长城，咱们改天吧。//$
改造	把旧厂房改造成一个超级市场。/$把头脑中的旧观念改造过来。//$
改组	政府改组了。/这次职工代表大会改组了厂领导班子。/这个部门经过改组减少了三个人。//$
改正	有错误一定要及时改正。//$
改写	这篇文章在发表之前让作者再改写一下。/我根据老师的意见把论文改写了一遍。/$这篇小说经过改写更吸引人了。/文章改写的时候我们去掉了一些难词，外国学生也能看懂了。/课文是经过改写的，所以比较容易懂。/老师让我们把课文的对话改写成一篇短文。//$
盖	快把保温瓶的盖儿盖上，不然水就凉了。/我进去的时候，他正盖着被子睡觉呢。//$请把你的图章盖上。/这份证明上少盖了一个章。//$盖房子。/房子盖好了。/新楼盖完了。/公司为员工盖了新宿舍。/这一带盖起了居民楼。//$
概括	大家的意见概括起来一共有四点。/我把他们的意见概括一下。/你的报告写得太啰嗦了，应该把相同的情况概括概括。/会议的情况，你概括得很好。/$
干^1	你别管，不干你的事。/走开，我们吵架干你们什么事?//$
干扰	一家装修干扰了全楼。/他正在复习功课，别去干扰他。/不要让这些琐事干扰大家的正常工作。/近来常有一些外界的干扰使我不能静下心来学习。//$
干涉	不干涉别的国家的内政。/对别人的私事不要干涉。/有的父母总爱过多地干涉子女的生活，这对孩子的成长是不利的。//$
干	你别管，不干你的事。/走开，我们吵架干你们什么事?//把酒干了。/干了这一杯。/来，大家一起举杯，干!/$
干杯	
干洗	这件大衣必须干洗。/我已经把那两条裙子送去干洗了。//$
甘	为了完成这项任务，几位老同志甘当年轻人的助手。/这件事没做完。他心不甘啊!//$
甘心	一辈子甘心当普通劳动者。/为了祖国的科学事业，很多科研工作者甘心献出自己的青春和生命。/$不拿第一名，我决不甘心。/搞了这么多年的专业用不上了，我怎么能甘心呢?死也甘心了。//$
甘愿	这件事是我错了，甘愿受罚。/为了培养山里的孩子，他甘愿长期在这所小学工作下去。/我甘愿这样，跟别人无关。//$
赶	他先走了，我追了半天才赶上他。/经过努力，他的学习成绩终于赶上来了。//$：这事很急，请你赶一赶。/为了赶稿子，他把自己关在屋里，谁也不见。/演出时穿的衣服终于在晚会前一天赶出来了。/$：。/快把那条狗赶开，别吓着小孩儿!。/他把儿子赶出了家门。/正赶上他在家。/今天真不走运，一出门就赶上大雨。/正赶上我们吃饭，你也坐下一起吃吧。/$
敢	谁敢摸老虎?。/天太黑了，我不敢出去。/你敢不敢去?。/你敢不敢跟我比比谁跑得快?//$他咳嗽好几天了，我敢断定他病了。/我不敢说他一定回来。/我敢说这次一定比你干得好。/你敢肯定这家公司需要人吗？//$
敢于	我们要敢于克服前进中的苦难。注意“敢于”一般不带单音节词。否定形式是不敢。//$
感	我对电脑特别感兴趣。/这件事使他深感不安。/看到他也来了，我略感意外。//$
感觉	大家都感觉他人很好。/我感觉有点儿心慌，需要休息一下儿。/她从来没感觉到幸福。/干了半天家务活，我感觉很累。/$
感到	。/他的话使我感到很愉快。/我感到很冷，可能是感冒了。//$
感染	。/她的歌声感染了在场的每一个人。/所有的观众都被运动员顽强的精神感染了，一齐起立鼓掌。/$你赶紧把伤口包扎一下，小心别感染。/他的手划破了，好几天都没好，可能是感染了。/他感染上了肺炎。//$
感受	这项任务让他们感受到巨大的压力。/我深深地感受到老师对我们的殷切期望。/$
感动	同学们的关心使我很感动。/这部电影深深地感动了我。/$
感慨	听了他的坎坷经历，我不禁感慨万分。/祖国的巨大变化使这位老华侨十分感慨。/$
感冒	我的头很疼，可能感冒了。/她感冒得很厉害，不能来上班了。/快穿上大衣，别感冒了。/$
干	这点儿活儿我干了好几天。/小王病了，她的工作我来干吧。/大家干了半年，按时完成了任务。//$她上大学前干过售货员。/他已干了十年小学教师，教学经验很丰富。/让我当经理?我干不了。/这个班长我干不下去了，换别人吧。//$
搞	我们搞了一个设计方案，请大家讨论一下。/他把事情搞糟了。/$这场演出的票特别难买，你有办法搞两张吗?。/我好不容易才搞到了那场话剧的票。/快去搞点儿吃的来，都要饿死了!。/我想了很多办法也搞不来投资。//$
告	。/他犯了法，我们应该到法院去告他。/他被人告了。/你能告他什么?//$这次访问已告结束。/第一阶段的工作巳告一段落，大家要好好总结，准备第二阶段的工作。//$
告诫	母亲再三告诫他要好好学习。/领导多次告诫大家要严格按规定操作机器，以免发生事故。/她总是告诫我不要抽烟，吸烟对身体不好。/老师每天都告诫孩子们过马路要小心。//$
告诉	我有一件事要告诉你，你千万不要跟别人说。/父亲去世的消息我本来不想告诉你，怕你难过。/请你告诉我，到底出了什么事?。/告诉你个好消息，我的毕业论文通过了。//$
告辞	天已经很晚了，我该告辞了。/他没待几分钟就告辞走了。/你们再坐会儿，我先告辞了。//$
搁	你好好想想，把东西搁哪儿了?。/这些书要搁到书架上。/这些吃的搁太久了，全都坏了//$这件事先搁下，以后再说吧。/我这几天太忙，家里的事先搁一搁吧。/这几件事都重要，哪一件也搁不下。//$胡椒粉搁得正合适。/菜的味道有点儿淡，得再搁点儿酱油。/我喝咖啡喜欢搁糖。/把花瓶搁好，别摔了。/炒菜的时候盐别搁多了。//$
歌唱	。/让我们尽情地歌唱吧!/$歌唱伟大的祖国，歌唱勤劳的人民。/为我们的美好未来尽情歌唱吧!//$
歌颂	这是一首歌颂祖国大好河山的诗。/千万人都在歌颂他们的英雄事迹。//$
歌咏	
割	大家都在地里割麦子。/田里的水稻已经割完了。/听到母亲去世的消息，他心里像刀割似的。//$腐败的清政府把中国的大片土地割给了外国侵略者。/把一大片地割成了好几块。//$
割爱	忍痛割爱。/你要是喜欢，我只好割爱了。/你能不能割爱把这幅画送给我?。/虽然这篇文章很好，但这期稿子已经足够了，我们只好割爱了。//$
革新	科学技术的不断革新大大推动了人类文明的发展。/经过这场革新运动，机械生产代替了手工劳动。//$
隔	他在院子里新砌了一堵墙，隔成了两个院子。/两座城市中间隔着一条河。/我跟他的屋子只隔了一堵墙。//$她正在写毕业论文，隔两天就要去图书馆查一次资料。/我们隔了三十年才又见面。/我家和他家只隔两百米。//$
给	他给了我一张电影票。/他把那本书给我了。/$在我生日那天，妈妈送给我一支钢笔。/请你把那杯水拿给我。/你能把这幅画送给我吗?。/请你把作业本交给老师。//$
给以	。/对有困难的人，我们应当给以帮助。/对犯罪分子要给以严厉的打击。//$
跟随	他跟随领导检查工作丢了I因为父母是外交官，他从小就跟随父母到过许多国家。/他紧紧跟随在爸爸的身后，怕被落下。//$
更改	我们出发的日期不能更改了。/比赛的规则已经更改了两项。/前边修路，公共汽车临时更改了路线。/我们搬家了，所以地址更改了。//$
更新	搬家后，我们更新了全部家具。/这家工厂的设备已经全部更新了。/面对新的时代，人们的知识也需要不断更新。//$
更衣	运动员正在更衣。/她每次去教堂之前，都要更衣。/你别进去，她在里进更衣呢!。/你去更衣室试试这条裙子合适不合适。//$
更正	。/这期杂志更正了上一期的几个错误。/我上次的讲课内容有一处需要更正一下。//$
耕	地已经耕过了。//$
耕耘	农民在田里辛勤地耕耘。/$他一生从事教育工作，辛勤地耕耘了几十年。/这是一项前人没有做过的工作，需要我们耕耘。//$
哽	听到母亲不幸去世的消息，她哽住了，半天说不出话来。/$
哽咽	说到自己的不幸遭遇，他哽咽了。/听到这个不幸的消息，她哽咽着，不使自己哭出声来。/看到爷爷病得这么重，她不停地哽咽着，泪流满面。//$
梗	他梗着脖子，怎么也不承认自己错了。/他见了人也不打招呼就梗着脖子走过去了。/没说两句话，她就梗起脖子跟人家吵起来了。//$
工作	这个新来的同事工作很努力。/你在哪里工作?。/已经九点了，开始工作吧。/已经工作五个小时了，你息一下儿吧。/$
工业化	。/这个地区以前以农业为主，现在已经工业化了。/这些国家已经实现工业化了。/$
攻	经过一夜战斗，我军终于攻下了敌人的阵地。/这个地方能攻能守。//$
攻打	明天早晨，开始攻打那座被敌人占领的城市。//$
攻击	向敌人发动攻击。/大规模攻击开始了。/攻击敌人阵地。/今天早上五点整，我们发动了对敌人的第一次攻击。/$别对人家进行攻击。/批评别人可以，但是不要攻击。/他常常攻击别人，大家都很讨厌他。/我实在不能忍受他的攻击。/$
弓	她弓着背，悄悄地走了出去。/小猫弓起腰，一下子就跳了过去。/门太矮，他只有弓着身子才能进去。//$
公认	同学们公认她是个好老师。/他的绘画才能得到了大家的公认。/大家公认他的外语水平最高。/这所学校的教学质量高是大家公认的。//$
公用	这个餐厅是几个公司公用的。/两家公用一个厨房。/街上到处都有公用电话，很方便。/学生宿舍有一台电脑，大家公用。//$
公布	。/高考的录取名单已经公布了。/新的婚姻法公布了。/学校公布了获奖学生名单。/我们将每天公布新的记录。///$
公开	这次评比结果已经公开了。/没有确凿的证据，这件事不能公开。/我们俩公开了将要结婚的消息。//$
供	。/天气冷了，已经开始供暖了。/爸爸妈妈供我上学。/这些材料供你参考。/公园里的亭子是供游人休息的。/我们腾出一间房子供你们办公。//$
供给	我们一定要保障灾区人民的食品供给。/大会给每位参加者免费供给一顿午餐。/教材不成问题，由我们供给。//$
供需	发展经济，保证供需平衡，避免通货膨胀//$
供养	他的父母全靠他供养。/他工资不高，还要供养老人，所以经济上比较紧张。//$
供应	。/市场供应很充足。/这种商品市场上供应不足。/克服一切困难保证市民的蔬菜供应。/我们公司的食堂星期天只供应两顿饭。//$
巩固	。/这次合作巩固了两国的友好关系：课后应该及时复习，巩固所学的知识。//$
拱	他用力拱开了门。/这个孩子使劲从人群中拱了出去。/$小猪在地上拱出了一个坑。/小狗用嘴拱开门跑出去了。/$
供	他已经供出了犯罪事实。/这个罪犯把同伙供出来了。/我们已经掌握了证据，你供不供没关系，照样定罪。//$
贡献	把全部的青春都贡献给了祖国。/为了使孩子幸福，父母可以为孩子贡献出自己的一切。/大家为做好这件工作积极贡献自己的才能和智慧。/在场的每一个人都为设计的成功贡献了力量。/$
勾	把多余的内容勾掉。/用红笔把成语勾出来。/这段不要了，勾了吧。//$他这番话勾起了我的回忆。/这张照片勾起了我对故乡的思念。/别再勾起奶奶的伤心事了。//$原来他们是勾在一起害人的。/他们早就勾上了，不知道又在商量什么坏事呢。//$
勾结	他们早就相互勾结了。/这两个人经常勾结在一起干坏事。//$
沟通	大桥沟通南北。/教练经常找运动员们沟通思想。/我们应该经常沟通一下情况。/你说什么他都听不进去，很难跟他沟通。//$
钩	钩住树枝把苹果摘下来。/把掉在井里的水桶钩上来。/钩子太小了，钩不住东西。//$
构成	这个句子由主语和谓语两个部分构成。/这几课构成一个单元。/$他家的狗爱咬人，已经对周围的邻居构成了威胁。/这个人的行为已经构成了犯罪。/$
构思	这篇小说构思很巧妙。/这些天我正在构思一个剧本。/我已经构思好了，准备把这块玉分成两部分雕刻。//$
构想	小夫妻俩已经在构想将来的生活。/怎样进行这项计划，我已经构想好了。/我初步构想了一个方案，你们看行不行。/$
购	我们公司新购进一批电脑。/$
购买	每到周末，我都要到超市购买一些生活日用品。/我几天前购买了一台打印机。//$
购物	欢迎到本商场购物。/星期天，前来商场购物的人很多。/这里新建了一座大型购物中心。//$
够	这些钱够不够?不够我再去拿。/我不要了，已经吃够了。/今天来的人太多了，饮料可能不够，再去买一些吧。/快点儿吧，时间不够了!//$他不够资格，这所大学没要他。/你真够朋友!。/这套书一共七本，这儿只有六本，不够数。//$东西放得太高了，我够不着。/你用竹竿够够试试，能不能够着?。/你够得着房顶吗?//$
估	你估一估一共会来多少人，我好去准备午饭。/估一估这片果园今年能收多少水果?。/大致估一下这套房子要多少钱。//$
估计	你估计一下买这套房子需要多少钱。/完成这件工作你估计要几天?。/天这么阴，估计要下雨。/今年太早了，估计庄稼要减产。/你把价钱估计得太低了。/这只是一个大致的估计，不是准确的数字。/你对价格的估计太不准确。///$
估算	我大概估算了一下，今天的宴会可能有500人参如。//$
咕噜	她嘴里不知在咕噜什么。/他嘴里咕噜了半天，好像在抱怨什么。/两个人咕噜了一阵，谁也听不清他们在说什么。//$
姑息	你对他的错误太姑息了，将来会出大事的。/对错误一点儿不能姑息。/$
辜负	真对不起，我辜负了你的好意。/我一定努力学习，不辜负父母的期望。/你花这么多时间帮我复习，我还是没考上，真是太辜负你了!。/你这样做真是辜负了我的一片苦心。/$
鼓	他鼓起勇气对姑娘表达了爱慕之情。/观众们一直热烈地鼓掌给运动员鼓劲儿。/咱们给他鼓鼓气，让他坚持下去。/$口袋装得鼓鼓的。/哎哟，吃得太多了，肚子都鼓起来了。/他把水含在嘴里，嘴的两边鼓着，样子很可笑。/头上鼓起了一个包。/$
鼓动	她鼓动我和她一起去练健身操。/观众的情绪被鼓动起来了。/他最会鼓动人，几句话就能把人的积极性调动起来。//$
鼓励	妈妈经常鼓励我要争取更好的成绩。/对困难学生要多鼓励。/我们互相鼓励要好好学习，争取一起考上大学。/困难时，有了他的鼓励，我更有信心了。/非常感谢你对我的鼓励，我一定好好干。/学校的表扬给了他很大鼓励。/$
鼓舞	这番话报鼓舞人心。/这个好消息真令人鼓舞。/这场比赛的胜利对于全体运动员是一个很大的鼓舞。/我受到他这番话的鼓舞，觉得更有信心了。//$
故	父母早故。/我时时怀念故去的亲人。/$
固定	要尽快把参赛名单固定下来。/请帮我把这个架子固定在墙上。/我觉得应该把每位代表的座位固定一下。/$
顾	不要只顾自己，不顾别人。/哥哥只顾工作，从来不顾孩子，嫂子很有意见。/他顾不上吃饭就去看电影了。//$
顾虑	你到底在顾虑什么?能不能跟我说说。/你赶快决定吧，再顾虑就来不及了。/她很犹豫，顾虑这顾虑那，下不了决心。/$
雇	我工作太忙了，只能雇个保姆帮着着孩子。/我雇了几个搬家公司的员工帮我搬家。/$我雇了一辆三轮车游览北京的胡同。/船已经雇好了，今天我们可以游览西湖了。//$
刮	把这层漆刮掉。/把这些铁锈刮一刮你该刮胡子了。/。/锅上粘的是什么东西，刮也刮不掉?/$
刮	大风刮起来了。/这风刮得真厉害。/风刮得树叶沙沙响。/大风把树都刮倒了。/$
挂	把新做好的窗帘挂上。/墙上挂着一幅画。/把衣服挂在衣柜里。/一轮明月挂在空中。/这个篮子挂得太高了，我够不着。//$我已经给家里挂过电话，说今天不回去了。/你给他挂个电话，让他快点儿来。/我要给外地的父母挂个长途。//$你要没什么事情，我就挂电话了。/你先别挂，我的话还没说完呢。/她一气之下就把电话挂了。//$
拐	前边没路了，拐过去吧。/你拐到他家里去看看他在不在。/从这个路口拐过去就是我家。///$他的左脚有毛病，走起路来一拐一拐的。/他把腿摔伤了，只能一瘸一拐地走路他拐着走过来了。//$邻居的孩子让人拐走了。/警察救了一个被拐走的女孩子。/公司的钱都被会计拐跑了。//$
拐卖	。/她的孩子几年前被拐卖了，到现在还没找到。/那个拐卖妇女儿童的罪犯被抓住了。//$
拐骗	那个人又上这几拐骗来了，大家别上当!。/有的老年人容易被人拐骗上当。/$
怪	这事你别怪我。/他没考好，怪我没帮助他。/这件事不怪他，怪我。/都怪我不小心，把花瓶打碎了。/你不要什么事都怪别人，应该先想想自己有没有错。//$
怪不得	这事怪不得他。/没考好是因为你没好好复习，怪不得别人。//$
怪罪	这主意是我出的，你千万不要怪罪他，要怪就怪我吧。/上面要是怪罪下来，我可担当不起。/我们没和他商量就这么干了，他要是怪罪怎么办?//$
关怀	学生们受到老师的亲切关怀。/父母时刻关怀子女的成长。/感谢领导对我们的关怀。//$
关系	考试成绩好坏关系到我能不能上一个好的大学。/改革的发展关系着全国人民的未来。/水和电关系着千家万户。/产品的质量关系到企业的生存和发展。/$
关心	同学们互相关心。/。/爸爸妈妈很关心我的学习和生活。/我们不能只关心自己，还应多关心关心别人。/$
关照	请多关照。/我刚来工作，很多事不熟悉，请大家多多关照。/客人很多，麻烦你融洽。/$你关照一下秘书。/$
关注	。/环境保护已引起了全世界//$
关	请帮我把门关上。/门已经关了。/外边下雨了。快把窗户关好。//$把电视关了吧，咱们说一会儿话。//$马戏团的狮子被关在笼子里。/那个犯人已经被关起来了。//$这不关你的事，你别管。/我们在讨论问题，关你什么事?。/这封信至关重要，一定要保存好。//$
关联	他跟这件事没有什么关联。/这两个部门是互相关联的。/$
观察	我想先观察一下他的精神状况，再决定告不告诉他真实情况。/病人的病情很不稳定，需要住院观察。/这些都是我对他的观察。/通过观察，我觉得他是个好人。//$
观光	今天我们接待了一个外国的观光团。/我想去南方观光，你愿意跟我一起去吗?//$
观看	
观赏	这些鱼是让大家观赏的。/这是一种观赏植物。//$
管	谁管图书?//$少管别人的事。/在我们家妈妈管钱。/这个警察管这一带的治安。/有时间多管管孩子吧。/公园的卫生工作归我管。/这次会议你管记录。/这事儿我不管。/这不是管闲事，是我们大家都应该关心的。//$我们公司每天管一顿午饭。/这次会议管吃管住。/西瓜不熟管换。//$
管理	我家的日常生活是由妈妈管理的。/她主要管理公司的财务工作。/$管理好自己的宠物。/自己管理自己。/我们系谁负责管理学生?。/这所监狱对犯人的管理教育很出色。//$
贯彻	我们要坚决贯彻领导的指示。//$
惯	我早晨锻炼惯了，一天不出来就浑身不舒服。/我一个人生活惯了，不想结婚。/很多南方人吃不惯馒头。//$你总这样，孩子都被惯坏了。/你太惯孩子了。/你不要总惯着他。/这个孩子被惯得不像样子。//$
惯于	因为惯于深夜写作，我总是白天睡觉。/他已经惯于一个人生活了。//$
灌	把开水灌到暖瓶里。/把米灌到坛子里。/从门缝里灌进来。/河水灌入农田。/$吃饭的时候，我被他们灌了好几杯酒，差点儿喝醉了。//$
灌溉	我们全村的农田都用这条河的水灌溉。/$
光	他干活儿喜欢光着膀子。/在公共场所光着上身是不文明的。/一群光着屁股的小孩子在河里洗澡。/光着脚在沙子上走真舒服。//$
光顾	欢迎光顾。/敬请光顾。//$对您的光顾我们感到很荣幸。/非常欢迎您光顾我们商店。/
光临	欢迎光临。/敬请光临指导。/欢迎下次光临。/非常感谢您的光临。/您能光临，我真是太高兴了。/欢迎光临我校指导工作。//$
广播	现在开始广播。/这个节目以前广播过。/$
逛	闲着没事出去逛逛吧。/我喜欢和朋友一起逛公园。//$
